alpha,alpha3,batch_size,critic1_error,critic2_error,distribution_loss,end_cost,entropy,eplenmean,eplrewmean,eprewmean,labda,lr_a,lr_c,lr_l,lyapunov_error,policy_loss,target_entropy,tau,total_timesteps,violation_times
0.9657092,1.0,256,2061.1345,1914.3928,nan,0.0,-0.85142547,131.5,0.0,-3446.30584903033,1.0001035,9.966466666666667e-05,0.00029899399999999996,0.00029899399999999996,7.051845e-05,160.03314,-1,0.005,2048,38.6
0.97116345,,,2756.3794,2664.9763,nan,0.0,-1.0143055,300.2,0.0,-1131.8312293920274,1.0137293,9.933133333333335e-05,0.000297994,0.000297994,5.7846315e-05,222.89648,,,4096,69.0
0.99363935,,,4045.716,4021.5605,-0.3129205,0.0,-1.1316335,458.7,0.0,-478.4425626931894,1.0135651,9.897883333333334e-05,0.0002969365,0.0002969365,4.1179264e-05,292.17145,,,6144,95.2
1.0405593,,,4429.541,4395.4688,-0.55878556,0.0,-1.1008208,298.8,0.0,759.7510088245446,1.0353315,9.870250000000001e-05,0.0002961075,0.0002961075,3.697807e-05,273.83173,,,8192,85.1
1.0746186,,,3783.3203,3787.8274,-4.903243,2.3475590101499746,-1.0633559,293.5,403.0628517720361,1070.0238192755953,1.1621778,9.83095e-05,0.0002949285,0.0002949285,0.7064598,222.7284,,,10240,39.5
1.0807214,,,3298.8813,3309.2222,-9.701192,7.438325047407898,-1.004728,435.8,1181.4376531186463,3635.2987191913066,1.2869991,9.797616666666667e-05,0.00029392849999999995,0.00029392849999999995,2.335446,173.9498,,,12288,39.5
1.0827503,,,2781.669,2790.9556,-12.151207,10.855803649426198,-1.0635154,412.2,22133.92414374205,2235.613100581069,1.3612014,9.768216666666668e-05,0.0002930465,0.0002930465,2562.349,147.6421,,,14336,21.5
1.2609589,,,4102.7285,4184.863,-13.022039,6.661461150061172,-1.5461835,325.9,6655.021346561269,129.4753360432741,1.4916798,9.730533333333334e-05,0.000291916,0.000291916,29337.965,73.10283,,,16384,3.1
1.4343755,,,2820.83,2838.5862,-10.006859,0.028015229382130902,-1.4926274,178.7,2229.756884345549,-104.46519049332146,1.4963549,9.696200000000001e-05,0.00029088599999999997,0.00029088599999999997,67973.2,-17.97108,,,18432,0.8
1.5413703,,,2772.8052,2822.2527,-10.848525,1.1163462691520492,-1.4128991,273.5,2471.476183393725,-217.275555814173,1.4713963,9.65955e-05,0.0002897865,0.0002897865,49636.062,-53.11718,,,20480,6.8
1.6276968,,,3111.1619,3210.464,-11.9036255,2.0289766514035623,-1.4528704,364.8,1705.3139874889007,766.4428715919837,1.4310031,9.626550000000001e-05,0.00028879649999999997,0.00028879649999999997,34973.156,-55.816692,,,22528,2.2
1.7578783,,,3486.6594,3582.2173,-12.170538,3.042380514720187,-1.4505937,459.0,1600.449526735478,1546.12234304032,1.3538535,9.59395e-05,0.00028781849999999997,0.00028781849999999997,33357.77,-86.914566,,,24576,1.6
2.0212038,,,4007.0227,4054.675,-9.866447,2.4620303769127085,-1.3656116,368.1,1766.064890771795,874.5751408158478,1.1855013,9.556866666666667e-05,0.00028670599999999996,0.00028670599999999996,45006.594,-153.6159,,,26624,7.2
2.165456,,,3832.3926,3904.2534,-9.189192,3.3741829067914453,-1.2484603,307.2,1584.135203107508,334.15598371398903,1.0905923,9.522666666666668e-05,0.00028567999999999996,0.00028567999999999996,34507.094,-152.63681,,,28672,5.6
2.2642171,,,2856.7942,2960.1187,-9.346436,15.120516105277966,-1.1753057,374.3,2946.3548602224737,2919.8124258208504,1.0255995,9.491566666666666e-05,0.00028474699999999996,0.00028474699999999996,35559.203,-157.2706,,,30720,11.6
2.3658302,,,2344.5364,2536.6987,-9.132723,40.360402166125056,-1.171927,385.8,2422.6425823912155,2867.9766000158643,0.97854996,9.4611e-05,0.000283833,0.000283833,32791.652,-180.20705,,,32768,10.7
2.5596693,,,2187.6438,2366.8325,-8.679629,31.38999673148445,-1.0933806,362.0,2681.9591155179405,3236.678426613501,0.9036953,9.4229e-05,0.00028268699999999994,0.00028268699999999994,21598.855,-249.76843,,,34816,11.1
2.6030517,,,2199.5796,2379.4148,-8.514168,1.5471220542513027,-0.98565227,294.0,2465.9019288829795,1297.3670482996781,0.8423522,9.387383333333334e-05,0.0002816215,0.0002816215,34547.266,-298.85098,,,36864,19.5
2.4930162,,,1765.9639,1928.5804,-9.132065,5.076768658461425,-0.8955084,392.1,2299.2327231960053,1697.584384598559,0.7838923,9.353833333333335e-05,0.00028061499999999996,0.00028061499999999996,74358.5,-338.63983,,,38912,11.4
2.3101125,,,1829.5632,2008.7488,-9.448153,6.670580480284128,-0.8065146,451.3,1680.731119579923,2055.1655204369736,0.73334944,9.320500000000001e-05,0.000279615,0.000279615,85507.14,-351.08667,,,40960,1.2
2.1012378,,,1677.3256,1822.6016,-9.780199,9.1458691010593,-0.7562908,500.0,2523.7351088719406,4456.9651527507085,0.6834825,9.287166666666667e-05,0.00027861499999999996,0.00027861499999999996,53771.863,-364.38916,,,43008,0.0
1.8773311,,,1542.9119,1690.2906,-10.540218,7.298566118719798,-0.7590539,442.3,4482.555281551189,4198.3825203451,0.6294093,9.255116666666666e-05,0.00027765349999999995,0.00027765349999999995,65077.812,-377.91708,,,45056,14.6
1.7142996,,,1239.3958,1381.8403,-10.275236,2.409246480533867,-0.8042814,383.9,5505.686277952483,2998.5038280371564,0.58251816,9.223183333333333e-05,0.0002766955,0.0002766955,33592.35,-394.54675,,,47104,22.9
1.560048,,,1400.1733,1477.367,-9.044626,1.753474679143396,-0.8758701,320.6,3839.6697796537783,2698.3966712044207,0.52974844,9.185016666666667e-05,0.00027555049999999996,0.00027555049999999996,57404.086,-417.86026,,,49152,5.7
1.4852239,,,1964.6025,2062.7026,-8.592602,2.093925614483684,-0.9318579,330.9,2206.882709933075,2197.88195875341,0.48974258,9.14725e-05,0.00027441749999999995,0.00027441749999999995,29807.887,-446.62027,,,51200,9.0
1.4462153,,,1683.2399,1785.0739,-8.364741,5.573733224334445,-0.970767,371.4,2526.683175224193,2496.100996688097,0.4546174,9.115166666666666e-05,0.000273455,0.000273455,11819.909,-464.4213,,,53248,11.2
1.4516206,,,1550.3545,1647.8953,-7.9038897,8.239873911635176,-1.03968,405.4,2773.5405621047926,3463.422283069421,0.4182926,9.079683333333334e-05,0.00027239049999999997,0.00027239049999999997,18279.213,-481.79727,,,55296,4.6
1.4831522,,,1515.3462,1608.245,-8.666618,5.345662146659948,-1.032949,415.7,1720.6252522097852,3158.706741275693,0.37937576,9.045883333333334e-05,0.0002713765,0.0002713765,19219.3,-503.31128,,,57344,0.7
1.469766,,,1357.0524,1430.9597,-9.253279,2.442825152414085,-0.96494186,390.3,1293.909863755695,1511.4014002790989,0.34413895,9.014633333333333e-05,0.000270439,0.000270439,18739.514,-522.5431,,,59392,1.7
1.4004661,,,1021.23035,1048.9879,-8.721201,2.1047884278352966,-0.9908086,246.1,1766.2039004260173,958.2999631891059,0.2983299,8.978916666666666e-05,0.00026936749999999997,0.00026936749999999997,21458.303,-522.6266,,,61440,3.3
1.404319,,,1778.135,1780.752,-7.916744,1.9146543061652643,-1.0254238,236.4,1980.316247296612,1433.9264422123028,0.27191356,8.94225e-05,0.0002682675,0.0002682675,14964.114,-530.74896,,,63488,4.0
