alpha,alpha3,batch_size,critic1_error,critic2_error,distribution_loss,end_cost,entropy,eplenmean,eplrewmean,eprewmean,labda,lr_a,lr_c,lr_l,lyapunov_error,policy_loss,target_entropy,tau,total_timesteps,violation_times
0.96217763,1.0,256,1821.9717,1875.8518,nan,0.0,-0.85545397,125.0,0.0,-3109.7323839341343,1.0,9.966583333333333e-05,0.00029899749999999996,0.00029899749999999996,0.00012506594,168.40619,-1,0.005,2048,0.0
0.9561146,,,3028.3784,3036.5815,nan,0.0,-0.89945257,241.8,0.0,-1152.3576685480814,1.0031984,9.937583333333333e-05,0.0002981275,0.0002981275,4.78812e-05,257.00055,,,4096,47.6
0.9223792,,,4918.5615,4893.4463,nan,0.25953468944470204,-0.7618679,326.6,156.42294734418041,-796.6085838379074,0.9861854,9.902916666666668e-05,0.0002970875,0.0002970875,0.054969907,321.8675,,,6144,47.6
0.8781413,,,6456.093,6413.782,-21.11933,0.5189908177390071,-0.7809552,423.1,372.7901049391634,-897.4984975363737,0.9416981,9.869583333333334e-05,0.0002960875,0.0002960875,0.22218838,362.9101,,,8192,0.0
0.8321518,,,5677.388,5656.9604,-25.050438,1.5802795412873927,-0.9409443,408.3,1441.3124360954587,-332.07387763099155,0.9304476,9.8362e-05,0.000295086,0.000295086,280.54343,390.33145,,,10240,5.5
0.85893184,,,6443.423,6441.0063,-24.72848,2.6559374530959805,-1.1463146,391.5,7639.7252645051385,206.53201922207168,0.95528114,9.796e-05,0.00029388,0.00029388,696.0366,405.90173,,,12288,21.1
0.92480385,,,8453.178,8463.539,-23.812805,1.8123250271596123,-1.2023628,441.2,6632.648498639914,1111.3703551134463,0.98232156,9.762666666666667e-05,0.00029288,0.00029288,3195.4036,437.36353,,,14336,15.6
1.0139116,,,7725.935,7778.3525,-21.216282,2.058255041573112,-1.2261361,485.4,6735.231932131983,2743.3345213553885,1.0696188,9.729333333333334e-05,0.00029187999999999995,0.00029187999999999995,6447.092,456.73584,,,16384,15.6
1.1219584,,,7035.496,7110.8853,-19.977312,1.1326662819665287,-1.2659657,500.0,752.250473756793,4204.973992521024,1.1990058,9.696000000000001e-05,0.00029088,0.00029088,9046.053,419.46054,,,18432,0.0
1.2400086,,,5424.456,5481.339,-19.695143,1.3695760869223008,-1.2491323,500.0,1067.8736765063582,4487.527286630642,1.3120278,9.662666666666667e-05,0.00028988,0.00028988,5161.993,319.7274,,,20480,0.0
1.3556489,,,5485.1,5527.0576,-17.996887,1.1384487490196058,-1.2157435,500.0,884.4297074668839,3110.088556990442,1.4169258,9.629333333333334e-05,0.00028888,0.00028888,3660.6243,206.67996,,,22528,0.0
1.4461285,,,4022.9478,4082.0266,-15.645244,0.8629944329333096,-1.1363446,500.0,698.897109724394,2028.6610186210175,1.5157835,9.596000000000001e-05,0.00028787999999999996,0.00028787999999999996,9164.953,118.95278,,,24576,0.0
1.4931407,,,3182.2922,3235.8718,-13.033102,0.5460438099965944,-1.0408804,500.0,333.6305311558932,944.8925038491482,1.6094354,9.562666666666668e-05,0.00028688,0.00028688,13935.214,64.209854,,,26624,0.0
1.474292,,,1792.9055,1833.4502,-12.162878,0.520596194010465,-0.9494087,500.0,509.36885933763097,1671.0065334077226,1.7070312,9.529333333333333e-05,0.00028587999999999997,0.00028587999999999997,12697.829,26.809597,,,28672,0.0
1.401175,,,1513.8062,1545.019,-12.894495,0.6558123337950991,-0.8914482,500.0,749.5181362011315,2255.257108979633,1.8117294,9.496e-05,0.00028488,0.00028488,8494.245,-19.842861,,,30720,0.0
1.293606,,,1330.0847,1359.0436,-14.241852,1.2271650413526263,-0.9129276,500.0,786.3168155063636,2933.870072389314,1.9366808,9.454333333333334e-05,0.00028363,0.00028363,5204.799,-71.76305,,,32768,0.0
