alpha,alpha3,batch_size,critic1_error,critic2_error,distribution_loss,end_cost,entropy,eplenmean,eplrewmean,eprewmean,labda,lr_a,lr_c,lr_l,lyapunov_error,policy_loss,target_entropy,tau,total_timesteps,violation_times
0.9571358,1.0,256,2229.0757,2297.7505,nan,0.0,-0.69312555,109.9,0.0,-2302.6610735653,1.0,9.966066666666667e-05,0.000298982,0.000298982,4.5875222e-05,187.09555,-1,0.005,2048,0.0
0.94532955,,,3439.6992,3506.0461,nan,0.0,-0.74828255,292.7,0.0,-1450.2708219262872,1.0,9.932733333333334e-05,0.00029798199999999997,0.00029798199999999997,3.288988e-05,253.25269,,,4096,0.0
0.9181018,,,5766.025,5855.2256,nan,0.0,-0.7874011,455.6,0.0,-429.25446656377716,1.0,9.901266666666667e-05,0.000297038,0.000297038,2.3607716e-05,335.91434,,,6144,0.0
0.8781141,,,9030.414,9160.66,nan,0.0,-0.9279798,410.0,0.0,316.9893622940266,1.0,9.8644e-05,0.00029593199999999994,0.00029593199999999994,2.0785457e-05,402.3017,,,8192,0.0
0.8950387,,,6562.2163,6681.996,nan,0.0,-1.0608205,273.7,0.0,1378.1172366189164,1.0,9.829833333333333e-05,0.000294895,0.000294895,1.9366624e-05,363.61563,,,10240,0.0
0.92241126,,,5323.325,5397.7314,nan,0.0,-1.0415561,208.5,0.0,790.8342199902881,1.0,9.795933333333334e-05,0.00029387799999999997,0.00029387799999999997,2.2337172e-05,322.24628,,,12288,0.0
0.94707793,,,5137.202,5195.798,nan,0.0,-1.0527252,320.9,0.0,2042.2307239458555,1.0,9.761183333333334e-05,0.0002928355,0.0002928355,2.9998186e-05,279.19934,,,14336,0.0
1.0077856,,,3907.0063,3948.727,nan,0.0,-1.1171871,313.0,0.0,2271.1386830898205,1.0,9.7271e-05,0.000291813,0.000291813,0.000119091084,228.33894,,,16384,0.0
1.1734179,,,6879.633,7019.2124,nan,0.0,-1.2507317,166.1,0.0,680.1251838099838,1.0,9.699966666666667e-05,0.00029099899999999996,0.00029099899999999996,0.00047006187,123.71084,,,18432,0.0
1.2821966,,,4225.639,4217.919,nan,0.0,-1.223381,218.8,0.0,2096.845308119713,0.99955,9.664033333333333e-05,0.00028992099999999995,0.00028992099999999995,0.0021310698,43.74505,,,20480,78.8
1.3499998,,,2836.6575,2839.5876,nan,0.09555804200735425,-1.2051303,356.8,3.715030616340941,2757.114066864481,0.98350286,9.6307e-05,0.000288921,0.000288921,0.0020063524,-5.1313853,,,22528,78.8
1.4305922,,,2759.3972,2740.042,-2.0317364,1.306300470705351,-1.1335961,500.0,215.95458270451135,3205.609624763033,0.97879285,9.597366666666668e-05,0.00028792099999999996,0.00028792099999999996,0.20909855,-46.703045,,,24576,92.9
1.4892752,,,3145.6655,3124.859,-2.4033659,2.321279024705146,-1.0394943,500.0,553.7918985577737,2131.6284894692803,1.0200081,9.564033333333335e-05,0.000286921,0.000286921,0.37576923,-95.608696,,,26624,49.9
1.4870105,,,2982.5933,2958.352,-2.3065221,1.205827835240058,-0.9758004,500.0,348.3836495323188,3730.5086990342375,1.103535,9.522366666666666e-05,0.000285671,0.000285671,0.5149666,-137.05789,,,28672,35.8
1.4359533,,,2411.023,2399.256,-2.2740319,1.1891140939326816,-0.9546612,500.0,365.77838693868625,4465.27473126881,1.1326975,9.489033333333334e-05,0.00028467099999999996,0.00028467099999999996,0.4997782,-175.98299,,,30720,35.8
1.357654,,,2179.6902,2169.282,-2.2524507,0.10315792291121813,-0.9240676,500.0,66.02000525898542,5425.820563201638,1.1521041,9.455700000000001e-05,0.000283671,0.000283671,0.39678198,-208.97366,,,32768,0.0
1.2556385,,,2807.7266,2805.969,-2.2440104,0.19594199956316374,-0.9078895,500.0,86.12404087782116,4846.110610224415,1.1953385,9.422366666666666e-05,0.00028267099999999996,0.00028267099999999996,0.33033377,-246.81941,,,34816,0.0
1.1496831,,,2347.4648,2335.525,-2.2428982,0.18799505583744341,-0.8945383,500.0,62.11141077869517,4827.453131422048,1.2319896,9.389033333333333e-05,0.000281671,0.000281671,0.24702314,-290.61627,,,36864,0.0
1.0558167,,,2362.758,2366.2668,-2.252997,0.004757170701777502,-0.9071492,500.0,75.1144994622753,4640.332027024651,1.2779065,9.355700000000001e-05,0.00028067099999999997,0.00028067099999999997,0.22480555,-330.2823,,,38912,11.1
0.99320966,,,1917.5035,1924.1868,-2.2343051,0.01364667414867533,-0.9606323,451.8,57.08925690659023,4850.0511413673285,1.4032223,9.322066666666667e-05,0.00027966199999999997,0.00027966199999999997,0.29317385,-371.37762,,,40960,11.1
