alpha,alpha3,batch_size,critic1_error,critic2_error,distribution_loss,end_cost,entropy,eplenmean,eplrewmean,eprewmean,labda,lr_a,lr_c,lr_l,lyapunov_error,policy_loss,target_entropy,tau,total_timesteps,violation_times
1.3391329,,,825.28046,795.2396,-56.656746,0.0,-0.76527345,1862.7,52.56472491009845,18128.641136818074,0.5239868,9.184433333333333e-05,0.00027553299999999995,0.00027553299999999995,2825.2134,-116.98114,,,49152,0.9
1.2535406,,,732.0836,708.79553,-56.6545,0.0,-0.78422284,1862.7,53.04433502482395,20554.873916285476,0.51413965,9.150300000000001e-05,0.000274509,0.000274509,2688.396,-158.42598,,,51200,0.9
1.1800578,,,670.1322,650.43567,-56.591095,0.0,-0.81049186,1862.7,87.89158682075985,20954.437159829846,0.49904647,9.116166666666667e-05,0.00027348499999999996,0.00027348499999999996,2481.0125,-199.58911,,,53248,0.9
1.1095209,,,757.15607,737.9208,-56.51952,0.0,-0.8304831,2048.0,81.26774825651279,23291.93160119544,0.47876614,9.082033333333334e-05,0.000272461,0.000272461,2479.019,-238.50249,,,55296,0.0
1.0363923,,,734.78925,719.3872,-56.53142,0.0,-0.81920844,2048.0,81.27266088656913,24036.16829181651,0.45570403,9.0479e-05,0.00027143699999999997,0.00027143699999999997,2325.2107,-281.32864,,,57344,0.0
0.96050406,,,709.1416,694.1991,-56.49044,0.0,-0.810737,2048.0,93.48250854206499,24320.844158247703,0.4316669,9.013766666666668e-05,0.000270413,0.000270413,2194.9087,-320.0461,,,59392,0.0
0.88812524,,,698.82477,682.8019,-56.526314,0.0,-0.8158622,2048.0,96.66837856115406,24666.62504840319,0.41222954,8.979633333333334e-05,0.000269389,0.000269389,2010.6868,-358.23123,,,61440,0.0
0.82461673,,,669.1341,653.6943,-56.45409,0.0,-0.8259059,2048.0,106.25861531138037,25620.572674190033,0.39766836,8.9455e-05,0.00026836499999999996,0.00026836499999999996,1875.9957,-395.2535,,,63488,0.0
0.7693781,,,714.8169,700.32776,-56.477844,0.0,-0.8451203,2048.0,161.4094225294536,25594.011778599823,0.38347048,8.911366666666667e-05,0.000267341,0.000267341,1652.5277,-433.01074,,,65536,0.0
0.7208315,,,697.31494,683.1273,-56.528156,0.0,-0.86483335,2048.0,160.97363684431193,25552.05726372996,0.37183523,8.877233333333333e-05,0.00026631699999999996,0.00026631699999999996,1442.9653,-466.41364,,,67584,0.0
0.6797429,,,691.9123,679.3021,-56.597755,0.030943424659737317,-0.88796914,2048.0,157.84618134839468,25512.140728863775,0.3613649,8.843100000000001e-05,0.000265293,0.000265293,1330.3157,-497.70053,,,69632,0.0
0.64616996,,,646.7088,634.3485,-56.583687,0.030943424659737317,-0.906658,2048.0,157.36657123366916,25388.108483657757,0.3516517,8.808966666666667e-05,0.000264269,0.000264269,1096.9574,-529.2975,,,71680,0.0
0.61809814,,,642.4434,630.03015,-56.74532,0.030943424659737317,-0.9175865,2048.0,136.08907960675705,25233.291289805355,0.3430664,8.774833333333335e-05,0.000263245,0.000263245,984.47363,-558.95905,,,73728,0.0
0.5950209,,,587.4562,576.49365,-56.79713,0.030943424659737317,-0.93153924,2048.0,151.1136019979826,25217.160845426777,0.33495992,8.740700000000001e-05,0.000262221,0.000262221,801.99725,-585.4109,,,75776,0.0
0.5769762,,,536.3879,530.07367,-56.814507,0.13441023951449527,-0.95015603,2048.0,195.8336617290606,25686.923767768414,0.32638747,8.706566666666666e-05,0.00026119699999999996,0.00026119699999999996,708.8544,-609.6762,,,77824,0.0
0.5635362,,,591.03723,583.12335,-56.89917,0.13441023951449527,-0.9623181,2048.0,211.3490033269718,25975.600925598897,0.3152962,8.672433333333334e-05,0.000260173,0.000260173,599.54016,-633.1486,,,79872,0.0
0.5546687,,,673.958,670.2672,-56.96507,0.13441023951449527,-0.98432696,2048.0,245.05495311717095,26302.833988526727,0.30008543,8.6383e-05,0.00025914899999999997,0.00025914899999999997,564.76385,-656.54047,,,81920,0.0
0.54965866,,,633.283,629.7782,-57.06025,0.2158784282875681,-0.99791765,2048.0,297.05399382899657,26777.66514572284,0.2800017,8.604166666666667e-05,0.00025812499999999995,0.00025812499999999995,404.18774,-681.0631,,,83968,0.0
0.54698074,,,661.30115,657.5714,-57.0347,0.27118579895198724,-1.0038213,2048.0,245.73752657996448,26991.75072229019,0.2564234,8.570033333333334e-05,0.000257101,0.000257101,364.22278,-700.95013,,,86016,0.0
0.5430298,,,645.4319,644.6715,-56.973328,0.28424733311048334,-0.9964488,2048.0,252.32542679383437,27158.661697531228,0.23691246,8.5359e-05,0.00025607699999999995,0.00025607699999999995,342.22247,-722.3625,,,88064,0.0
0.53447753,,,681.48975,679.9293,-56.91147,0.2692370546699374,-0.986241,2048.0,290.04106448306436,27417.146030256008,0.22513843,8.501766666666667e-05,0.000255053,0.000255053,319.6139,-743.6791,,,90112,0.0
0.5209917,,,723.97125,724.823,-56.95237,0.3568848034863059,-0.9711841,2048.0,399.2634562914533,28264.071438496736,0.21918635,8.467633333333333e-05,0.00025402899999999996,0.00025402899999999996,284.44672,-762.85016,,,92160,0.0
0.50483906,,,722.8018,723.6609,-56.90503,0.5797437034929298,-0.9684973,2048.0,604.0491575171857,28792.882460587763,0.21764532,8.433500000000001e-05,0.000253005,0.000253005,266.6498,-783.6498,,,94208,0.0
0.477194,,,701.1749,706.10736,-56.917946,0.47627688863817186,-0.9660748,1844.3,550.8604278537263,26403.6045224082,0.22423558,8.399183333333333e-05,0.0002519755,0.0002519755,249.66318,-827.46533,,,96256,0.0
0.46584263,,,672.6952,682.8727,-56.84278,0.5592397528441073,-0.9691666,1844.3,610.6438587465577,26205.366312739643,0.2298877,8.365050000000001e-05,0.00025095149999999997,0.00025095149999999997,257.47858,-847.6588,,,98304,0.0
0.4532997,,,575.84766,586.1249,-56.785797,0.6696446337295359,-0.95059615,1844.3,698.9985614917892,26115.22595073704,0.23709731,8.330916666666667e-05,0.0002499275,0.0002499275,242.16045,-864.1873,,,100352,0.0
0.4393149,,,647.6238,661.0322,-56.67685,0.79330963370422,-0.9536074,1844.3,922.2859410652354,26268.153687721613,0.2467958,8.296783333333334e-05,0.0002489035,0.0002489035,262.14453,-879.1047,,,102400,0.0
0.42822465,,,543.12836,556.9396,-56.64987,0.9391542679555709,-0.9701781,1844.3,1259.3202577705229,26894.847861992323,0.2575701,8.262650000000001e-05,0.0002478795,0.0002478795,250.2476,-894.5114,,,104448,0.0
0.42203212,,,599.6928,612.09064,-56.712635,1.0238980273245102,-0.9890768,1844.3,1642.1315723005696,27575.65753795192,0.26498765,8.228516666666666e-05,0.0002468555,0.0002468555,245.99234,-907.6896,,,106496,0.0
0.4219891,,,494.3047,506.20596,-56.846516,0.9203171322889503,-1.0101564,1465.1,1503.8731155664693,21446.32799986413,0.2685729,8.223450000000001e-05,0.0002467035,0.0002467035,222.82217,-923.84863,,,108544,0.9
0.42661104,,,498.42984,510.5822,-56.73577,0.8496049343734068,-1.0173914,1465.1,1552.5339574895793,21289.96372316056,0.265962,8.189316666666667e-05,0.00024567949999999996,0.00024567949999999996,228.28716,-929.2801,,,110592,0.9
0.4483052,,,430.50488,435.60727,-56.67686,0.7875851919392973,-1.052695,1263.3,1792.2921712977618,18871.715537691794,0.24408321,8.1545e-05,0.000244635,0.000244635,149.70497,-942.54553,,,112640,0.9
0.45944127,,,502.16846,507.69174,-56.735138,0.7640201568254246,-1.081361,1263.3,1852.090530388717,19273.501659419904,0.23489419,8.120366666666667e-05,0.00024361099999999997,0.00024361099999999997,211.75854,-948.01385,,,114688,0.9
0.4755014,,,455.37436,459.3951,-56.79293,0.7061603716774645,-1.0914291,1263.3,1828.532179998445,19507.888955110837,0.22279982,8.086233333333333e-05,0.000242587,0.000242587,181.65518,-953.2692,,,116736,0.9
0.49065718,,,475.88364,480.81168,-56.73764,0.6083500972309608,-1.071567,1263.3,1744.3867946925898,19313.52436171546,0.20935273,8.0521e-05,0.00024156299999999998,0.00024156299999999998,208.25679,-959.50586,,,118784,0.9
0.501164,,,427.49185,432.19513,-56.675987,0.6509587588789767,-1.055404,1263.3,1505.3179451410738,19062.376887233513,0.19712631,8.017966666666667e-05,0.00024053899999999998,0.00024053899999999998,216.72171,-963.4735,,,120832,0.9
0.50756055,,,448.08627,451.84174,-56.782127,0.6509587588789767,-1.044981,1438.3,1698.769513472914,21913.52078841521,0.18580239,7.983833333333334e-05,0.00023951499999999999,0.00023951499999999999,221.66362,-971.116,,,122880,0.0
0.51184493,,,504.82022,508.9571,-56.50354,0.7769613720246205,-1.0411462,1642.5,1942.6735365606637,25193.506878995977,0.17385137,7.9497e-05,0.00023849099999999996,0.00023849099999999996,228.13725,-980.33984,,,124928,0.0
0.5137513,,,545.53284,549.31946,-56.54552,0.62481466993354,-1.025844,1642.5,1853.3832053949372,25536.89156391791,0.16262761,7.915566666666668e-05,0.000237467,0.000237467,289.4875,-989.6334,,,126976,0.0
0.51191556,,,526.84766,530.4449,-56.543926,0.7466068733960562,-1.0089974,1642.5,1778.7462246146938,25091.963990461772,0.15296516,7.881433333333333e-05,0.00023644299999999997,0.00023644299999999997,316.9938,-997.65546,,,129024,0.0
0.5060529,,,531.8398,535.1127,-56.246254,0.9646384602857626,-0.98461473,1846.3,2176.780767571299,28224.611890377262,0.14425328,7.8473e-05,0.000235419,0.000235419,327.02063,-1005.5514,,,131072,0.0
0.4993249,,,589.63715,591.5301,-56.33729,1.1874086970574194,-0.9813734,2048.0,2642.531319033065,31844.960358711385,0.13566545,7.813166666666667e-05,0.00023439499999999998,0.00023439499999999998,339.6237,-1017.76965,,,133120,2.2
