alpha,alpha3,batch_size,critic1_error,critic2_error,distribution_loss,end_cost,entropy,eplenmean,eplrewmean,eprewmean,labda,lr_a,lr_c,lr_l,lyapunov_error,policy_loss,target_entropy,tau,total_timesteps,violation_times
0.72303355,,,2182.4377,2177.872,-1.8645713,2.708045205311746,-0.87301075,451.3,636.3703726904951,3139.903471314773,1.0893855,9.1531e-05,0.00027459299999999995,0.00027459299999999995,0.15819396,-508.32812,,,51200,138.5
0.6733247,,,2014.5989,2009.0924,-1.8805275,3.2794465356087423,-0.90733814,451.3,729.7817216129959,3547.0977135627736,1.2266679,9.119766666666667e-05,0.000273593,0.000273593,0.31067702,-512.7218,,,53248,132.0
0.63741595,,,1819.3718,1810.876,-1.9216837,2.513134318472059,-0.97409993,427.9,390.8930283890213,3472.626243855022,1.3541712,9.082e-05,0.00027246,0.00027246,0.5040144,-528.50964,,,55296,74.0
0.62981015,,,1615.461,1633.9182,-1.9697917,0.8988019392283665,-1.0091355,476.6,133.00617650352697,4881.198696111902,1.4471339,9.048666666666667e-05,0.00027146,0.00027146,0.62009597,-547.9963,,,57344,29.4
0.63407576,,,2023.3021,2037.0322,-1.9813776,0.010099201102913291,-1.0262854,500.0,0.1854457883945418,5153.473694624976,1.5561206,9.015333333333334e-05,0.00027046,0.00027046,0.69242555,-567.054,,,59392,0.0
0.6403035,,,1962.2976,1963.9086,-1.9656786,0.0,-1.0189734,500.0,0.35185219715358845,5139.385375093087,1.6815077,8.982e-05,0.00026945999999999996,0.00026945999999999996,0.6071858,-584.5556,,,61440,0.0
0.6406721,,,1938.8483,1933.6848,-1.9320643,0.0,-0.9972285,500.0,1.3721297040752582,4829.753222102741,1.8175762,8.948666666666667e-05,0.00026846,0.00026846,0.6137119,-599.41833,,,63488,0.0
0.6458608,,,2349.1545,2336.3499,-1.9263859,0.005331853613904069,-1.0213535,500.0,8.840177606764607,4801.086399217714,1.9365877,8.915333333333334e-05,0.00026745999999999996,0.00026745999999999996,1.1454408,-622.3543,,,65536,0.0
0.6646811,,,2082.0198,2061.229,-1.943578,0.7634100264782401,-1.0398705,500.0,198.5099029173577,5551.453498968338,2.0751853,8.873666666666667e-05,0.00026620999999999996,0.00026620999999999996,1.0107661,-648.86145,,,67584,33.4
0.6744839,,,1784.5485,1773.3336,-1.9311006,2.415565042429816,-1.0092552,500.0,546.7414914676835,5308.0335599632,2.2271316,8.840333333333333e-05,0.00026521,0.00026521,0.64725554,-668.1405,,,69632,124.2
0.6692574,,,1793.8951,1802.0121,-1.9110562,2.8495459809464068,-0.9942352,500.0,643.0443359988124,5318.275134069996,2.4703898,8.807e-05,0.00026420999999999997,0.00026420999999999997,0.89193213,-678.3248,,,71680,166.0
0.6610962,,,1471.1902,1480.873,-1.9009558,1.3891533900845232,-0.98182046,451.2,462.1407812620031,4682.137430419893,2.7940855,8.773466666666668e-05,0.000263204,0.000263204,0.80500793,-701.1295,,,73728,124.8
0.65567625,,,1576.8724,1576.5011,-1.8782034,1.3793670481684674,-0.993353,451.2,394.5794243758082,4485.305829794009,3.0490367,8.740133333333333e-05,0.000262204,0.000262204,1.4920441,-713.77655,,,75776,114.5
0.65197957,,,1868.8528,1871.4297,-1.8470272,1.413182811135473,-0.9785164,491.7,518.1808289892665,4576.084383916185,3.2826915,8.708183333333334e-05,0.00026124549999999996,0.00026124549999999996,1.3377986,-717.47375,,,77824,167.3
0.6431452,,,1855.2256,1858.7709,-1.8481131,2.323328044310638,-0.95794755,491.7,534.9737140561149,3962.0762439011187,3.5606422,8.674850000000001e-05,0.0002602455,0.0002602455,0.8834251,-716.2813,,,79872,152.4
0.629878,,,1926.0416,1923.3914,-1.8486286,1.998249756931528,-0.99770087,491.7,461.2438275125992,3413.6653915996008,3.835383,8.641516666666667e-05,0.00025924549999999997,0.00025924549999999997,1.3088515,-722.9423,,,81920,94.0
0.66019887,,,1336.8063,1311.9364,-1.7040837,0.02613005794595704,-0.9515023,195.5,80.77773308798717,-68.52520020640763,3.9996238,8.6006e-05,0.000258018,0.000258018,2.7192504,-690.11554,,,83968,13.9
0.6649289,,,2081.4585,2064.358,-1.7139705,0.0442457921733818,-1.0127486,237.5,87.36506204536066,470.7152263075206,3.9555175,8.570383333333334e-05,0.0002571115,0.0002571115,3.6825187,-688.61743,,,86016,9.5
0.677137,,,1991.5156,1994.1267,-1.7349055,0.0442457921733818,-1.0539441,387.6,89.02295839012265,1157.287759332505,3.8556678,8.53705e-05,0.00025611149999999996,0.00025611149999999996,3.1796267,-668.32477,,,88064,11.2
0.71105784,,,2487.3325,2469.2861,-1.7711556,0.2809782630697896,-1.0424469,375.5,78.37412743494323,1470.5488516784924,3.762675,8.499466666666666e-05,0.000254984,0.000254984,2.101276,-626.6669,,,90112,4.0
0.7572221,,,2608.8135,2599.0864,-1.7507675,0.4279032905317469,-1.2040522,380.7,65.08458287213828,2799.8202978597974,3.7246819,8.465083333333334e-05,0.00025395249999999995,0.00025395249999999995,2.4034743,-620.32416,,,92160,2.4
0.8218956,,,2826.3235,2805.5981,-1.751668,0.6649814752351864,-1.374236,407.3,52.88841565938327,3856.5535198775956,3.650956,8.431750000000001e-05,0.0002529525,0.0002529525,2.657608,-621.8385,,,94208,6.1
0.8943877,,,2099.039,2069.4727,-1.7401073,0.4749575641678593,-1.3652635,456.3,86.42049507145317,3984.768299104765,3.5480728,8.398416666666666e-05,0.00025195249999999996,0.00025195249999999996,1.5713956,-633.9103,,,96256,10.8
0.95240575,,,1041.7566,1021.23615,-1.7154129,0.0056004318147163,-1.1447755,464.0,62.19538323945979,2911.152190594052,3.459111,8.36275e-05,0.00025088249999999997,0.00025088249999999997,1.146878,-637.4598,,,98304,9.2
0.9787189,,,1030.8279,1018.1395,-1.7311268,0.0,-1.0707409,464.0,49.021441018722555,2634.4275069859245,3.3598228,8.329416666666668e-05,0.0002498825,0.0002498825,1.2143734,-634.1754,,,100352,7.1
0.9969858,,,1723.831,1705.3707,-1.7385519,0.3977646527993878,-1.0348705,459.0,53.56071969782804,1184.1059873194688,3.1468027,8.294583333333333e-05,0.00024883749999999997,0.00024883749999999997,1.7381811,-611.4957,,,102400,6.8
0.9933487,,,1604.3839,1592.3461,-1.7370087,0.3977646527993878,-0.9842311,459.0,54.19914629307719,-272.61390168259123,2.9564054,8.261250000000001e-05,0.0002478375,0.0002478375,1.8123223,-582.7497,,,104448,7.6
