alpha,alpha3,average_cost,batch_size,critic1 error,critic2 error,entropy,eplenmean,eplrewmean,eprewmean,lr_a,lr_c,lr_l,lyapunov error,lyapunov_lambda,policy_loss,target_entropy,tau,total_timesteps
0.9165169,0.5,5.490706923732174,256,134.63866,132.56644,0.31452516,32.8,0.0,180.0951870984153,9.9327e-05,0.00029798099999999995,0.00029798099999999995,69.828384,1.0,46.31797,-1,0.005,2048
0.8295952,,5.679317531125293,,187.49207,186.57527,-0.07969068,12.9,0.0,73.26319615151628,9.863533333333334e-05,0.00029590599999999997,0.00029590599999999997,68.577995,1.0,84.90429,,,4096
0.8037556,,6.40496331347694,,85.472885,87.42824,0.01705719,11.6,0.0,74.2975744363325,9.7955e-05,0.000293865,0.000293865,73.737404,1.0,62.455597,,,6144
0.740435,,2.0356617705557007,,135.35019,136.76047,-0.27874437,79.2,0.0,161.2244122280115,9.727000000000001e-05,0.00029181,0.00029181,74.33376,1.0,69.676834,,,8192
0.6882102,,0.5634044742349287,,25.43873,25.697735,-0.35594502,125.9,0.0,70.93262330617752,9.662533333333334e-05,0.00028987599999999995,0.00028987599999999995,62.605194,1.0,63.702736,,,10240
0.6238623,,6.291986657033645,,21.93929,21.735386,-0.42405516,10.0,0.0,62.919866570336445,9.593133333333333e-05,0.00028779399999999996,0.00028779399999999996,69.37959,1.0,54.01176,,,12288
