alpha,alpha3,batch_size,critic1_error,critic2_error,distribution_loss,end_cost,entropy,eplenmean,eplrewmean,eprewmean,labda,lr_a,lr_c,lr_l,lyapunov_error,policy_loss,target_entropy,tau,total_timesteps,violation_times
0.9596138,1.0,256,2233.0981,2288.1423,nan,0.0,-0.79200256,51.6,0.0,-2320.2239088441574,1.0,9.967866666666667e-05,0.000299036,0.000299036,2.5107414e-05,198.16252,-1,0.005,2048,0.5
0.9561216,,,3013.155,3078.4624,nan,0.0,-0.8409112,202.7,0.0,-62.49891405407921,1.0,9.940016666666668e-05,0.0002982005,0.0002982005,2.4968558e-05,235.63835,,,4096,5.5
0.97142184,,,4961.689,5032.413,nan,0.0,-1.028009,412.3,0.0,1613.433939472921,1.0,9.899916666666668e-05,0.00029699749999999997,0.00029699749999999997,2.2604376e-05,285.51367,,,6144,5.5
1.0192137,,,6281.542,6368.7686,nan,0.0,-1.1596162,418.3,0.0,-522.6689989958255,1.0,9.870300000000001e-05,0.00029610899999999997,0.00029610899999999997,1.6416387e-05,297.2746,,,8192,0.0
1.0699347,,,5595.6953,5675.238,nan,0.0,-1.1439553,418.3,0.0,-1872.3460913876013,1.0,9.836966666666667e-05,0.000295109,0.000295109,1.3537562e-05,281.8031,,,10240,0.0
1.1560624,,,4001.4429,4048.1187,nan,0.0,-1.063798,432.7,0.0,1297.1289411933526,1.0,9.798183333333334e-05,0.0002939455,0.0002939455,1.5292799e-05,208.07877,,,12288,0.0
1.2071825,,,3365.2212,3411.5884,nan,0.0,-1.0385296,432.7,0.0,4539.743506452529,1.0,9.76485e-05,0.0002929455,0.0002929455,1.3596735e-05,129.3307,,,14336,0.0
1.2816377,,,3236.189,3278.718,nan,0.0,-1.0810068,470.0,0.0,4926.007356777537,1.0,9.731516666666667e-05,0.00029194549999999995,0.00029194549999999995,1.0308232e-05,49.070652,,,16384,0.0
1.3839535,,,2888.9458,2912.809,nan,0.0,-1.098229,500.0,0.0,4629.323438886129,1.0,9.698183333333334e-05,0.0002909455,0.0002909455,7.5347734e-06,-33.910267,,,18432,0.0
1.4448639,,,2408.9553,2426.307,nan,0.0,-1.0316532,500.0,0.0,3234.6791561991804,1.0,9.664850000000001e-05,0.0002899455,0.0002899455,6.1613237e-06,-98.152725,,,20480,0.0
1.4229596,,,2132.5947,2120.4827,nan,0.0,-0.9673565,500.0,0.0,3049.4274880582507,1.0,9.631516666666666e-05,0.0002889455,0.0002889455,7.0432943e-06,-144.21971,,,22528,0.0
1.3500986,,,1958.5463,1948.445,nan,0.0,-0.9419969,498.7,0.0,3810.7607600460265,0.99513197,9.598400000000001e-05,0.00028795199999999996,0.00028795199999999996,8.752102e-06,-184.0361,,,24576,71.9
1.2444913,,,1829.5391,1822.5348,nan,0.0,-0.9368373,498.7,0.0,5194.780523677253,0.95761794,9.556733333333334e-05,0.000286702,0.000286702,1.1572174e-05,-236.42908,,,26624,102.7
1.1529529,,,1294.7686,1283.5209,-0.44889894,0.0,-0.92145604,500.0,0.0,4829.113250324085,0.90566266,9.5234e-05,0.000285702,0.000285702,1.2796639e-05,-285.20065,,,28672,65.3
1.058537,,,1532.5111,1545.7637,-3.0497484,8.822195847690901,-0.9016957,482.8,10655.595251341996,3562.8373597094132,0.8588502,9.492933333333333e-05,0.00028478799999999996,0.00028478799999999996,57.626884,-318.73517,,,30720,61.3
0.9744871,,,2297.9155,2359.1067,-11.092598,100.21633571807823,-1.0510143,349.8,47218.40017957538,222.12608146496888,0.93349314,9.456766666666667e-05,0.000283703,0.000283703,5337.496,-238.8274,,,32768,88.6
1.0941249,,,1711.6497,1773.444,-11.58987,4.051861760735443,-1.3949244,266.5,861.2281186409291,473.8166095475605,1.0799696,9.420683333333333e-05,0.0002826205,0.0002826205,443700.0,-187.96666,,,34816,0.0
1.1978929,,,1698.8652,1750.4365,-12.07194,4.802908882229954,-1.4191737,288.7,792.0591715090142,269.3434280524146,1.132682,9.3872e-05,0.000281616,0.000281616,445682.56,-227.41336,,,36864,0.1
1.2830532,,,1720.2224,1726.5219,-11.739904,2.0328977707752385,-1.3157613,368.4,1135.2607964546096,990.9355740808762,1.1826899,9.356016666666667e-05,0.00028068049999999996,0.00028068049999999996,15777.133,-227.86145,,,38912,0.4
1.3792413,,,1841.6409,1854.472,-11.663591,1.78744141009632,-1.2954175,388.1,944.0186907057548,1950.5764127666348,1.2399704,9.322516666666668e-05,0.00027967549999999996,0.00027967549999999996,10237.48,-262.98364,,,40960,0.3
1.4783627,,,2194.1946,2209.4888,-12.343056,1.942996075353101,-1.2920763,402.1,781.1806442568353,3382.4072238747162,1.2918193,9.289000000000001e-05,0.00027867,0.00027867,244271.28,-325.70264,,,43008,0.0
1.5910851,,,1971.6061,1960.0271,-12.083805,1.5077243529841913,-1.3157549,402.2,661.3109779667568,3470.5460685119156,1.3289793,9.255483333333334e-05,0.00027766449999999996,0.00027766449999999996,255818.5,-335.53473,,,45056,0.0
1.7084253,,,1661.3916,1668.5033,-11.572087,1.3185294997523263,-1.4061707,451.1,831.2510011396471,4400.298998499138,1.3394711,9.22215e-05,0.0002766645,0.0002766645,34255.58,-356.76846,,,47104,0.0
1.903225,,,1757.9102,1788.5365,-11.693935,0.9800621586769257,-1.4457824,402.2,644.9163987796519,3739.4864631621704,1.3133833,9.188450000000001e-05,0.0002756535,0.0002756535,15621.713,-390.0497,,,49152,0.0
2.0501182,,,1494.9954,1510.9084,-11.730406,0.28550138064908975,-1.3000724,345.2,343.6713780175923,1199.1476482079022,1.2736266,9.14795e-05,0.00027443849999999996,0.00027443849999999996,21294.098,-398.27728,,,51200,0.0
2.111474,,,1592.1995,1608.9095,-12.187225,0.24959649874458,-1.1423156,443.0,372.8384939316244,2057.8957242935544,1.2548654,9.114616666666667e-05,0.00027343849999999993,0.00027343849999999993,414249.2,-435.4944,,,53248,0.0
2.1112986,,,1764.0713,1786.9656,-12.177946,0.5453159405365067,-0.9687189,443.0,385.55186044755493,1835.0249186842952,1.241996,9.081283333333334e-05,0.00027243849999999996,0.00027243849999999996,598482.94,-405.2074,,,55296,0.0
2.0404227,,,1909.5707,1947.7373,-11.830373,0.5449747791220767,-0.85559237,500.0,450.3923503202148,2207.303955752267,1.2244114,9.04795e-05,0.0002714385,0.0002714385,595824.44,-419.2718,,,57344,0.0
1.9182583,,,1906.8629,1944.74,-12.324427,2.24346085864335,-0.83046246,500.0,1046.3159731358653,4222.215263970198,1.2118326,9.014616666666666e-05,0.00027043849999999997,0.00027043849999999997,18157.863,-387.9704,,,59392,0.0
1.8048947,,,1692.5969,1718.5745,-12.3326235,3.1088435873145253,-0.8371161,500.0,9809.391580469015,4160.016833039879,1.2047498,8.981283333333333e-05,0.00026943849999999994,0.00026943849999999994,11078.252,-384.91763,,,61440,18.8
1.6746662,,,1899.008,1902.4037,-12.006079,2.881478221972837,-0.94419736,353.8,13735.678187682372,2479.734018453346,1.2232175,8.947316666666668e-05,0.0002684195,0.0002684195,29434.203,-380.8493,,,63488,25.1
1.5940909,,,1589.2971,1583.4742,-11.151233,2.8844982283079665,-0.944513,282.2,3943.714317680607,1879.3238452133846,1.2507252,8.911766666666668e-05,0.000267353,0.000267353,29632.578,-423.95148,,,65536,12.0
1.5238304,,,1318.5667,1329.1006,-11.221914,2.0764819452355874,-0.879943,357.9,1098.0774412791404,3144.946777289927,1.2643523,8.878266666666667e-05,0.00026634799999999996,0.00026634799999999996,21678.809,-430.25748,,,67584,7.5
1.4374678,,,2150.115,2156.9,-10.56158,1.742175623192614,-0.87345725,395.8,684.3241464767345,2500.764931825005,1.2806706,8.845800000000001e-05,0.00026537399999999997,0.00026537399999999997,27405.459,-425.62344,,,69632,1.7
1.3334846,,,1245.0569,1254.7788,-10.271807,2.648750806857742,-0.87639457,275.3,942.819628307584,1460.3441467034047,1.308402,8.8115e-05,0.000264345,0.000264345,7716.927,-417.12827,,,71680,8.8
1.2841997,,,1465.7979,1484.127,-10.042655,1.9714022939181455,-0.8117467,286.3,879.7194419971663,1929.7472782437558,1.315587,8.772316666666667e-05,0.00026316949999999995,0.00026316949999999995,13574.0205,-445.72104,,,73728,5.1
